"age","AI_input","Human_input","AI_correct","Human_correct"
17,6,4,0,1
16,5,5,1,4
16,4,6,1,5
15,5,5,3,2
19,4,6,3,3
17,6,4,3,1
16,5,5,2,1
14,8,2,4,0
16,6,4,2,0
17,4,6,0,4
15,4,6,2,2
17,9,1,5,0
15,4,6,2,5
15,6,4,3,1
16,10,0,3,0
17,8,2,4,0
16,6,4,5,3
15,9,1,6,1
17,7,3,4,1
17,9,1,7,0
21,6,4,4,2
16,6,4,1,3
15,6,4,1,3
16,4,6,2,6
17,7,3,4,1
14,7,3,4,1
16,7,3,5,0
13,5,5,2,1
18,6,4,4,2
15,3,7,1,2
18,4,6,3,3
17,4,6,2,2
17,5,5,1,0
15,6,4,3,1
15,6,4,2,3
15,5,5,4,1
17,3,7,3,2
16,7,3,5,2
15,7,3,4,1
16,3,7,1,2
14,6,4,0,1
16,4,6,1,1
18,8,2,4,0
17,5,5,3,0
18,5,5,1,3
19,4,6,2,6
17,5,5,3,2
16,10,0,3,0
16,6,4,2,3
15,5,5,3,2
16,4,6,1,5
15,7,3,3,0
14,6,4,2,4
16,6,4,2,0
18,7,3,1,2
15,6,4,4,2
18,8,2,2,2
50,7,3,5,0
16,4,6,4,4
18,4,6,3,6
17,10,0,2,0
21,6,4,3,4
17,3,7,0,4
16,6,4,2,3
17,4,6,0,3
16,4,6,1,5
16,5,5,3,5
16,6,4,3,1
18,4,6,1,4
15,8,2,4,0
17,10,0,6,0
21,7,3,1,2
19,6,4,4,0
17,5,5,2,1
16,5,5,5,2
17,6,4,5,3
18,7,3,5,0
18,6,4,2,3
15,4,6,3,1
18,5,5,3,2
16,5,5,2,5
23,3,7,3,4
16,6,4,0,1
14,7,3,3,0
17,5,5,1,4
17,8,2,4,0
15,5,5,5,4
15,6,4,5,1
13,10,0,8,0
14,7,3,0,1
15,6,4,3,4
15,7,3,4,1
16,5,5,5,2
17,8,2,1,1
16,4,6,3,3
16,5,5,4,1
15,4,6,2,2
16,6,4,4,2
17,5,5,1,4
14,10,0,2,0
14,5,5,1,3
14,6,4,3,1
16,4,6,2,0
16,5,5,4,3
15,5,5,4,3
14,5,5,1,4
16,6,4,6,2
15,5,5,4,3
18,5,5,2,5
16,10,0,8,0
15,6,4,0,1
15,5,5,4,1
13,4,6,0,3
15,6,4,3,4
14,5,5,2,5
16,5,5,5,2
17,4,6,2,2
17,6,4,2,0
16,4,6,1,1
16,5,5,4,3
13,7,3,2,2
17,6,4,2,0
14,4,6,3,3
16,3,7,0,5
14,3,7,1,5
16,6,4,4,2
15,6,4,0,2
16,4,6,2,5
15,5,5,3,2
17,10,0,3,0
16,8,2,5,1
14,5,5,1,3
15,8,2,4,0
15,6,4,3,1
17,6,4,4,2
14,5,5,2,5
