"Education","AI_Count","Human_Count"
"In high school",0,1
"In high school",1,4
"In high school",1,5
"In high school",3,2
"In college/undergraduate",3,3
"In high school",3,1
"In high school",2,1
"In high school",4,0
"In high school",2,0
"None of the above",0,4
"In high school",2,2
"In college/undergraduate",5,0
"In high school",2,5
"In high school",3,1
"In high school",3,0
"In high school",4,0
"In high school",5,3
"In high school",6,1
"In high school",4,1
"In college/undergraduate",7,0
"None of the above",4,2
"In high school",1,3
"In high school",1,3
"In high school",2,6
"In high school",4,1
"In high school",4,1
"In high school",5,0
"In middle school",2,1
"In college/undergraduate",4,2
"In high school",1,2
"In high school",3,3
"In college/undergraduate",2,2
"In high school",1,0
"In high school",3,1
"In high school",2,3
"In high school",4,1
"In high school",3,2
"In high school",5,2
"In high school",4,1
"In high school",1,2
"In high school",0,1
"In high school",1,1
"In high school",4,0
"In high school",3,0
"In college/undergraduate",1,3
"In college/undergraduate",2,6
"In high school",3,2
"In high school",3,0
"In high school",2,3
"In high school",3,2
"In high school",1,5
"In high school",3,0
"In high school",2,4
"In high school",2,0
"In college/undergraduate",1,2
"In high school",4,2
"In college/undergraduate",2,2
"In graduate school",5,0
"In high school",4,4
"In college/undergraduate",3,6
"In high school",2,0
"In graduate school",3,4
"In college/undergraduate",0,4
"In high school",2,3
"In high school",0,3
"In high school",1,5
"In high school",3,5
"In high school",3,1
"In college/undergraduate",1,4
"In high school",4,0
"In college/undergraduate",6,0
"In college/undergraduate",1,2
"In high school",4,0
"In college/undergraduate",2,1
"In high school",5,2
"In college/undergraduate",5,3
"In high school",5,0
"In college/undergraduate",2,3
"In college/undergraduate",3,1
"In college/undergraduate",3,2
"In high school",2,5
"In graduate school",3,4
"In high school",0,1
"In high school",3,0
"In high school",1,4
"In high school",4,0
"In high school",5,4
"In high school",5,1
"In high school",8,0
"In middle school",0,1
"In high school",3,4
"In high school",4,1
"In high school",5,2
"In high school",1,1
"In high school",3,3
"In high school",4,1
"In high school",2,2
"In high school",4,2
"In high school",1,4
"In high school",2,0
"In high school",1,3
"In high school",3,1
"In high school",2,0
"In high school",4,3
"In high school",4,3
"In high school",1,4
"In high school",6,2
"In high school",4,3
"In high school",2,5
"In high school",8,0
"In high school",0,1
"In high school",4,1
"In high school",0,3
"In high school",3,4
"In high school",2,5
"In high school",5,2
"In high school",2,2
"In high school",2,0
"In high school",1,1
"In high school",4,3
"In middle school",2,2
"In high school",2,0
"In high school",3,3
"In high school",0,5
"In high school",1,5
"In high school",4,2
"In high school",0,2
"In high school",2,5
"In high school",3,2
"In high school",3,0
"In high school",5,1
"In middle school",1,3
"In high school",4,0
"In high school",3,1
"In high school",4,2
"In high school",2,5
"In high school",2,0
"In high school",4,0
"In high school",4,1
"In middle school",1,1
"In high school",1,3
"None of the above",2,3
"In middle school",2,6
"In high school",1,0
"In high school",0,2
"In high school",0,2
"In high school",3,2
"In high school",3,3
"In high school",3,0
"In high school",5,0
"In high school",4,1
"In high school",4,0
"In high school",4,0
"In high school",2,1
"In high school",1,1
"In high school",3,1
"In high school",2,1
"In high school",5,3
"In college/undergraduate",4,2
"In high school",4,1
"In high school",3,0
"In middle school",2,0
"In high school",4,1
"In high school",3,1
"In high school",1,2
"In high school",2,3
"In high school",4,2
"In high school",5,1
"In high school",4,2
"In high school",3,0
"In high school",5,2
"In high school",1,3
"In high school",2,0
"In high school",5,1
"In high school",6,3
"In high school",2,0
"In college/undergraduate",5,2
"In high school",0,0
"In college/undergraduate",4,1
"In high school",5,0
"In high school",1,4
"In college/undergraduate",0,1
"In high school",2,1
"In high school",3,1
"In high school",1,4
"In high school",3,2
"In high school",4,0
"In high school",5,1
"In high school",8,0
"In high school",1,1
"In high school",3,0
"In high school",6,1
"In high school",3,1
"In high school",2,4
"In high school",1,5
"In high school",4,1
"In high school",4,0
"In high school",5,2
"In high school",2,2
"In high school",3,1
"In high school",1,4
"In college/undergraduate",3,2
"In high school",0,2
"In high school",1,2
"In high school",3,2
"In high school",0,3
"In high school",4,1
"In high school",5,2
"In high school",5,2
"In high school",2,5
"In high school",1,1
"In college/undergraduate",2,0
"In high school",1,4
"In high school",4,1
"In high school",3,1
"In high school",6,1
"In high school",2,0
"None of the above",3,0
"In high school",1,2
"In high school",4,0
"In high school",0,4
"In college/undergraduate",4,3
"In high school",0,3
"In high school",4,3
"In college/undergraduate",4,2
"In high school",1,4
"In college/undergraduate",6,1
"In high school",6,3
"In middle school",2,0
"In high school",4,4
"In high school",2,4
"In college/undergraduate",4,1
"In high school",4,1
"In high school",1,4
"In high school",4,2
"In high school",1,1
"In high school",0,4
"In high school",2,3
"In college/undergraduate",4,1
"In high school",3,0
"In high school",4,0
"In high school",2,0
"In high school",5,3
"In college/undergraduate",2,0
"In high school",0,1
"In high school",3,1
"In high school",1,4
"In high school",1,4
"In high school",3,4
"In high school",1,6
"None of the above",0,2
"In high school",3,4
"In high school",3,2
"In high school",3,0
"In high school",1,2
"In high school",1,3
"In high school",0,4
"In high school",1,1
"In high school",0,1
"In high school",6,0
"In high school",2,2
"In high school",1,1
"In middle school",2,3
"In high school",0,4
"In middle school",3,2
"In high school",1,0
"In middle school",2,4
"In high school",4,1
"In middle school",6,1
"In graduate school",4,1
"In high school",6,2
"In high school",2,2
"In high school",0,2
"In high school",4,4
"In high school",6,0
"In high school",2,0
"In high school",4,1
"In high school",1,1
"In high school",3,2
"In middle school",3,3
"In high school",2,0
"In elementary/primary school",4,0
"In high school",3,6
"In high school",2,3
"In high school",3,0
"In high school",3,3
"None of the above",3,2
"In high school",2,4
"In high school",3,1
"In high school",2,1
"In high school",2,1
"In college/undergraduate",2,1
"In high school",5,4
"In high school",1,5
"In high school",5,2
"In high school",7,0
"In high school",3,1
"In high school",2,5
"In high school",5,1
"In high school",2,0
"In high school",2,1
"In high school",3,3
"In high school",1,3
"In high school",5,1
"In high school",2,5
"In high school",0,2
"In high school",4,2
"In high school",1,3
"In high school",4,3
"In high school",1,4
"In middle school",2,0
"In middle school",1,1
"In middle school",0,1
"In high school",5,0
"In high school",4,1
"In middle school",1,6
"In middle school",2,0
"In high school",1,3
"In high school",4,0
"In high school",3,2
"In middle school",4,2
"In high school",2,5
"In middle school",5,0
"In middle school",1,0
"In high school",2,2
"In high school",4,1
"In high school",5,3
"In high school",5,1
"In high school",1,4
"In high school",4,0
"In high school",2,4
"In high school",3,0
"In high school",1,1
"In high school",2,1
"In high school",5,0
"In high school",2,0
"In high school",4,0
"In high school",1,4
